repository_name,site,views,unique_visitors/cloners
GeoChronR,github.com,3,2
GeoChronR,somsubhra.com,2,1
GeoChronR,Google,1,1
LiPD-utilities,nickmckay.github.io,20,1
LiPD-utilities,Google,7,5
LiPD-utilities,github.com,3,1
LiPD-utilities,pypi.org,2,1
LiPD-utilities,lipd.net,1,1
nuspectral,Google,10,2
varveModel,owa.ugent.be,13,1
varveModel,Google,1,1
