repository_name,date,views,unique_visitors/cloners
GeoChronR,2018-09-19,6,1
GeoChronR,2018-09-21,8,2
GeoChronR,2018-09-24,1,1
GeoChronR,2018-09-28,2,1
GeoChronR,2018-09-29,1,1
LiPD-utilities,2018-09-18,22,1
LiPD-utilities,2018-09-20,2,1
LiPD-utilities,2018-09-21,1,1
LiPD-utilities,2018-09-23,2,1
LiPD-utilities,2018-09-24,2,1
LiPD-utilities,2018-09-26,1,1
LiPD-utilities,2018-09-28,3,3
LiPDverse,2018-09-20,2,1
LiPDverse,2018-09-25,1,1
nuspectral,2018-09-26,13,2
nuspectral,2018-10-01,6,1
varveModel,2018-09-20,1,1
varveModel,2018-09-21,1,1
varveModel,2018-09-25,3,2
varveModel,2018-09-26,15,2
varveModel,2018-09-27,2,1
varveModel,2018-10-01,5,1
